raw_activity,clean_activity
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for Children, During the Evening between 9pm-6am | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | After School Program / Tutoring Children Under 18 Years of Age","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for Children, During the Evening between 9pm-6am","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for Children, During the Evening between 9pm-6am","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | After School Program / Tutoring Children Under 18 Years of Age","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | After School Program / Tutoring Children Under 18 Years of Age","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | After School Program / Tutoring Children Under 18 Years of Age","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for Children, During the Evening between 9pm-6am | After School Program / Tutoring Children Under 18 Years of Age","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children) | Fitness Classes,Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
Fitness Training On and Off Premises | Retail Sales of General Merchandise and Non-Perishable Food | Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children),Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Fitness Classes | Guide Clients in Yoga Instruction | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Provide Advertising or Marketing Services | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
Training in the Arts of Combat and Self-Defense for Children Under 18 Years of Age,Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in the Arts of Combat and Self-Defense for Both Adults and Children (40% or More Children) | Training in the Arts of Combat and Self-Defense for Children Under 18 Years of Age | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (40% Or More Children)",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Fitness Training On and Off Premises | Fitness Classes | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
Training in the Arts of Combat and Self-Defense for Both Adults and Children (40% or More Children) | Training in the Arts of Combat and Self-Defense for Children Under 18 Years of Age,Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children) | Guide Clients in Yoga Instruction | Instruction in Dance for Both Children and Adults (Less Than 40% Children),Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Fitness Training On and Off Premises | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (40% Or More Children) | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
Training in the Arts of Combat and Self-Defense for Children Under 18 Years of Age | Children's Activities Facilities,Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Fitness Classes | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
Training in the Arts of Combat and Self-Defense for Both Adults and Children (40% or More Children) | After School Program / Tutoring Children Under 18 Years of Age,Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (Less Than 40% Children) | Fitness Classes",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (Less Than 40% Children) | Fitness Classes | Guide Clients in Yoga Instruction",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults | Rental of Miscellaneous Items for Events and Parties",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (Less Than 40% Children)",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults | Provide Photography or Videography Services | Provide Rental of Photo Booths",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children),Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (40% Or More Children)",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Fitness Training On and Off Premises | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (Less Than 40% Children)",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (Less Than 40% Children) | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Fitness Training On and Off Premises | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
"Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",Training in the Arts of Combat and Self-Defense for Both Adults and Children (Less Than 40% Children)
